chrom,pos,size,vclass,tier,region,gene,symbol,protein_name,themes,best_axis,best_nlp,n_axes,MAF,snp_cosig_2kb,block_gene_mismatch
Chr5,334885,2,smallindel,3_promoter,promoter,AT5G01860,AT5G01860,C2H2 and C2HC zinc fingers superfamily protein,stress,bio1,7.380004745200773,1,0.1956212303855202,False,False
Chr4,11357998,2,smallindel,3_promoter,promoter,AT4G21350,PUB8,U-box domain-containing protein 8 (EC 2.3.2.27) (Plant U-box protein 8) (RING-type E3 ubiquitin transferase PUB8),stress,bio3,7.351679224240944,1,0.1031834103844382,False,False
Chr3,7079299,2,smallindel,3_promoter,promoter,AT3G20290,EHD1,EH domain-containing protein 1 (AtEHD1) (EC 3.6.5.2),stress,bio15,7.344850524509763,1,0.0505945086479187,False,False
Chr5,6801491,9,smallindel,3_promoter,promoter,AT5G20140,HBP5,SOUL heme-binding family protein,stress,bio15,7.337417880278516,1,0.3238033381375399,False,False
Chr4,12170418,1,smallindel,3_promoter,promoter,AT4G23260,CRK18,Cysteine-rich receptor-like protein kinase 18 (Cysteine-rich RLK18) (EC 2.7.11.-),stress,bio6,7.326578090817767,2,0.0786546739664944,False,False
Chr5,23804267,1,smallindel,3_promoter,promoter,AT5G58950,AT5G58950,At5g58950 (Protein-tyrosine kinase),stress,bio15,7.303673453391224,1,0.0944862474094737,False,False
Chr3,241516,4,smallindel,3_promoter,promoter,AT3G01650,RGLG1,E3 ubiquitin-protein ligase RGLG1 (EC 2.3.2.27) (RING domain ligase 1),stress,bio14,7.249896053818407,1,0.1546132239428433,False,False
Chr1,10738522,1,smallindel,3_promoter,promoter,AT1G30410,ABCC12,ABC transporter C family member 12 (ABC transporter ABCC.12) (AtABCC12) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 13) (Glutathione S-conjugate-transporting ATPase 13) (Multidrug resistance-associated protein 13),stress,bio15,7.247487085158875,1,0.0754440643570639,False,False
Chr4,10464791,3,smallindel,3_promoter,promoter,AT4G19120,ERD3,Probable methyltransferase PMT21 (EC 2.1.1.-) (Protein EARLY-RESPONSIVE TO DEHYDRATION 3),stress,bio15,7.200034210724123,1,0.0681133378635753,False,False
Chr4,7210145,507,sv,3_promoter,promoter,AT4G12030,BASS5,"Probable sodium/metabolite cotransporter BASS5, chloroplastic (Bile acid transporter 5) (Bile acid-sodium symporter family protein 5)",stress,bio15,6.778054515054385,1,0.093310995535417,False,False
Chr4,12137420,4886,sv,3_promoter,promoter,AT4G23180,CRK10,Cysteine-rich receptor-like protein kinase 10 (Cysteine-rich RLK10) (EC 2.7.11.-) (Receptor-like protein kinase 4),stress,bio11,6.007631725646385,1,0.1001871607520363,False,False
